"HTMLFile","RelativePath","FullPath","Exists","FileSize"
"index.html","./assets/gallery/mentor-selection.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\mentor-selection.jpg","True","4604"
"index.html","./assets/gallery/data-visualization.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\data-visualization.jpg","True","15179"
"index.html","./assets/story/traditional-problems.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\story\traditional-problems.jpg","False","N/A"
"index.html","./assets/story/zenmirror-solution.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\story\zenmirror-solution.jpg","False","N/A"
"index.html","./assets/story/cultural-mentors.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\story\cultural-mentors.jpg","False","N/A"
"index.html","./assets/icons/hrv-research.svg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\icons\hrv-research.svg","True","1126"
"index.html","./assets/icons/meditation-research.svg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\icons\meditation-research.svg","True","1877"
"index.html","./assets/icons/rsa-research.svg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\icons\rsa-research.svg","True","1732"
"index.html","./assets/videos/hero-demo-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\hero-demo-thumb.jpg","True","2399"
"index.html","./assets/videos/tech-demo-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\tech-demo-thumb.jpg","True","8870"
"index.html","./assets/videos/mentor-demo-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\mentor-demo-thumb.jpg","False","N/A"
"index.html","./assets/videos/setup-guide-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\setup-guide-thumb.jpg","False","N/A"
"index.html","./assets/videos/user-stories-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\user-stories-thumb.jpg","False","N/A"
"index.html","./assets/videos/comparison-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\comparison-thumb.jpg","False","N/A"
"index.html","./assets/gallery/product-front.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-front.jpg","True","9969"
"index.html","./assets/gallery/product-side.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-side.jpg","False","N/A"
"index.html","./assets/gallery/product-detail.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-detail.jpg","False","N/A"
"index.html","./assets/gallery/product-packaging.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\product-packaging.jpg","False","N/A"
"index.html","../../assets/images/app/dashboard.png","D:\Projects\ZenMirror_20250916\assets\images\app\dashboard.png","True","1003609"
"index.html","./assets/gallery/mentor-interface.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\mentor-interface.jpg","False","N/A"
"index.html","./assets/gallery/analytics-view.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\analytics-view.jpg","False","N/A"
"index.html","./assets/gallery/achievements-view.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\achievements-view.jpg","False","N/A"
"index.html","./assets/gallery/home-meditation.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\home-meditation.jpg","False","N/A"
"index.html","./assets/gallery/studio-use.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\studio-use.jpg","False","N/A"
"index.html","./assets/gallery/office-meditation.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\office-meditation.jpg","False","N/A"
"index.html","./assets/gallery/travel-setup.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\gallery\travel-setup.jpg","False","N/A"
"index.html","../../assets/images/technology/radar-visualization.png","D:\Projects\ZenMirror_20250916\assets\images\technology\radar-visualization.png","True","1111210"
"index.html","./assets/closed-loop-diagram.svg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\closed-loop-diagram.svg","True","9092"
"index.html","../../assets/images/mentors/zen-master.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\zen-master.png","True","1581706"
"index.html","../../assets/images/mentors/yogi.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\yogi.png","True","1782691"
"index.html","../../assets/images/mentors/chaplain.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\chaplain.png","True","1418849"
"index.html","../../assets/images/mentors/spiritual-mentor.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\spiritual-mentor.png","True","1854336"
"index.html","../../assets/images/mentors/stoic-philosopher.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\stoic-philosopher.png","True","1738883"
"index.html","../../assets/images/mentors/vedanta-acharya.png","D:\Projects\ZenMirror_20250916\assets\images\mentors\vedanta-acharya.png","True","1647071"
"index.html","./assets/updates/manufacturing-facility.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\updates\manufacturing-facility.jpg","False","N/A"
"index.html","../../assets/images/branding/zenmirror-logo.png","D:\Projects\ZenMirror_20250916\assets\images\branding\zenmirror-logo.png","True","275604"
"index.html","../../assets/images/branding/zenmirror-logo.png","D:\Projects\ZenMirror_20250916\assets\images\branding\zenmirror-logo.png","True","275604"
"index.html","./assets/og-image.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\og-image.jpg","False","N/A"
