"HTMLFile","RelativePath","FullPath","Exists","FileSize","FileType","Category"
"index.html","./assets/videos/tech-demo-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\tech-demo-thumb.jpg","False","N/A","N/A","Videos"
"index.html","./assets/videos/user-stories-thumb.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\indiegogo\assets\videos\user-stories-thumb.jpg","False","N/A","N/A","Videos"
"index.html","./assets/closed-loop-diagram.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\closed-loop-diagram.jpg","False","N/A","N/A","Other"
"index.html","./assets/hrv-rsa-chart.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\hrv-rsa-chart.jpg","False","N/A","N/A","Other"
"index.html","./assets/icons/achievements.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\achievements.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/analytics.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\analytics.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/closed-loop.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\closed-loop.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/column.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\column.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/dove.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\dove.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/heart-monitoring.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\heart-monitoring.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/hrv-research.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\hrv-research.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/lotus.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\lotus.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/meditation-research.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\meditation-research.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/multi-mode.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\multi-mode.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/om-symbol.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\om-symbol.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/privacy-shield.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\privacy-shield.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/radar-waves.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\radar-waves.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/real-time.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\real-time.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/rsa-research.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\rsa-research.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/scoring.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\scoring.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/tree-of-life.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\tree-of-life.jpg","False","N/A","N/A","Icons"
"index.html","./assets/icons/zen-circle.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\icons\zen-circle.jpg","False","N/A","N/A","Icons"
"index.html","./assets/og-image.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\og-image.jpg","False","N/A","N/A","Other"
"index.html","./assets/team/advisor.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\team\advisor.jpg","False","N/A","N/A","Team"
"index.html","./assets/team/cto.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\team\cto.jpg","False","N/A","N/A","Team"
"index.html","./assets/team/founder.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\team\founder.jpg","False","N/A","N/A","Team"
"index.html","./assets/tech-diagram.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\tech-diagram.jpg","False","N/A","N/A","Technology"
"index.html","./assets/testimonials/david.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\testimonials\david.jpg","False","N/A","N/A","Testimonials"
"index.html","./assets/testimonials/maya.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\testimonials\maya.jpg","False","N/A","N/A","Testimonials"
"index.html","./assets/testimonials/sarah.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\testimonials\sarah.jpg","False","N/A","N/A","Testimonials"
"index.html","./assets/traditional-wearables.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\traditional-wearables.jpg","False","N/A","N/A","Other"
"index.html","./assets/video-thumbnail.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\video-thumbnail.jpg","False","N/A","N/A","Videos"
"index.html","./assets/zenmirror-setup.jpg","D:\Projects\ZenMirror_20250916\final_campaigns\kickstarter\assets\zenmirror-setup.jpg","False","N/A","N/A","Other"
